artigoEmPeriodico	 	2016	1665-0204		Qualidade de fatias de melancia armazenadas sob refrigeração e atmosfera modificada	Revista Iberoamericana de Tecnologia Postcosecha	BARRETO, C.F. ; HOFFMANN, J. F. ; DAMBROS, J.I. ; RADMANN, E. B. ; ROMBALDI, C. V.	Qualis nao identificado	Revista Iberoamericana de Tecnologia Postcosecha
artigoEmPeriodico	 	2016	1983-0378		CULTURA E EDUCAÇÃO CIENTÍFICA: ALTERNATIVAS PEDAGÓGICAS PARA INSERÇÃO DO MULTICULTURALISMO NA FORMAÇÃO INICIAL DE PROFESSORES	Signos	COUTINHO, C.; RUPPENTHAL, R.	Qualis nao identificado	Signos
artigoEmPeriodico	 	2016	2448-4148		Estratégias pedagógicas para formação de um ideário ecológico no Ensino de Ciências	Revista Multiciência Online	COUTINHO, C.; RUPPENTHAL, R. ; ADAIME, M. B.	Qualis nao identificado	Revista Multiciência Online
artigoEmPeriodico	 	2016	2179-460X	http://dx.doi.org/10.5902/2179460X22551	PENTÁCULO AMBIENTAL: INSTRUMENTO PARA VERIFICAÇÃO DAS ATITUDES AMBIENTAIS	Ciência e Natura	COUTINHO, CADIDJA; RUPPENTHAL, RAQUEL ; ADAIME, MARTHA BOHRER ; MACHADO MACHADO, MARCOS VINICIOS	C	CIÊNCIA E NATURA
artigoEmPeriodico	 	2016	1179-3163	http://dx.doi.org/10.11646/phytotaxa.253.1.6	<p><strong><em>Calydorea minuana</em>,<em> </em>a new species of Iridaceae from Río de La Plata Grasslands, South America</strong></p>	Phytotaxa (Online)	DEBLE, L. P.; Alves, F. da S. ; DEBLE, A. S. O.	Qualis nao identificado	Phytotaxa (Online)
artigoEmPeriodico	 	2016	1575-0965		Discutiendo controversias socio científicas en la enseñanza de ciencias por medio de una actividad lúdica	REVISTA ELECTRÓNICA INTERUNIVERSITARIA DE FORMACIÓN DEL PROFESORADO	DUSO, Leandro; HOFFMANN, M. B.	C	
artigoEmPeriodico	 	2016	2179-4588		EMEF Sepé Tiarajú - uma escola do campo e para o campo	CCNExt - Revista de Extensão	FONSECA. Eril M. ; BIERHALZ, Crisna Daniela K.	Qualis nao identificado	CCNExt - Revista de Extensão
artigoEmPeriodico	 	2016	2525-4863		Discutindo articulações entre ensino de Ciências e Educação do Campo através da análise dos cadernos	REvista Brasileira de Educação do campo	FONSECA. Eril M. ; BIERHALZ, Crisna Daniela K.	B2	REVISTA BRASILEIRA DE EDUCAÇÃO DO CAMPO
artigoEmPeriodico	 	2016	2448-4148		MEU PRATO PREFERIDO: Promovendo hábitos alimentares saudáveis em crianças em idade escolar	Revista Multiciência Online	MACHADO, B. T. R. ; COUTINHO, C. ; RUPPENTHAL, R.	Qualis nao identificado	Revista Multiciência Online
artigoEmPeriodico	 	2016	2358-1980		Microgyne Marchesiana (Asteraceae: Astereae) nova ocorrência para a flora do Brasil	http://dx.doi.org/10.5902/2358198022372	MOREIRA, B. P. ; DEBLE, A. S. O. ; DEBLE, L. P.	Qualis nao identificado	http://dx.doi.org/10.5902/2358198022372
artigoEmPeriodico	 	2016	1517-4492		Análise dos Recursos Visuais Utilizados no Capítulo de Ligações Químicas dos Livros Didáticos do PNLD 2015	Acta Scientiae (ULBRA)	PAZINATO, M. S.; BRAIBANTE, M. E. F. ; MIRANDA, A. C. G. ; FREITAS, R. T. G.	B2	ACTA SCIENTIAE (ULBRA)
artigoEmPeriodico	 	2016	2447-6099		Os recursos visuais utilizados pelos livros didáticos na abordagem das ligações químicas: uma avaliação quanto a sequência didática e ao grau de iconicidade	Revista Debates em Ensino de Química	PAZINATO, M. S. ; FREITAS, R. T. G. ; BRAIBANTE, M. E. F. ; MIRANDA, A. C. G.	B5	REVISTA DEBATES EM ENSINO DE QUÍMICA
artigoEmPeriodico	 	2016	2448-4148		A leitura e a escrita como promotoras de alfabetização científica	Revista Multiciência Online	RUPPENTHAL, R. ; COUTINHO, C.	Qualis nao identificado	Revista Multiciência Online
artigoEmPeriodico	 	2016	2179-4588		Trajetória da Docência no Campo: narrativa como uma abrodagem de investigação	CCNExt - Revista de Extensão	SANTOS, L. Q. G. ; BIERHALZ, Crisna Daniela K.	Qualis nao identificado	CCNExt - Revista de Extensão
artigoEmPeriodico	 	0	1434-193X	http://www.scopus.com/scopus/inward/citedby.url?partnerID=bb5nvXTn&rel=R6.0.0&doi=10.1002/ejoc.200900485&md5=5cba2ff7f2390c4e7df0cc5de5c564b3	Efficient Synthesis of Modular Amino Acid Derivatives Containing Selenium with Pronounced GPx-Like Activity	European Journal of Organic Chemistry (Print)	Alberto, E. E. ; Soares, Letiére C. ; SUDATI, J. H. ; Borges, Antonio C. A. ; Rocha, João B. T. ; Braga, Antonio L.	Qualis nao identificado	European Journal of Organic Chemistry (Print)
artigoEmPeriodico	 	0	0104-6497	http://www.scopus.com/scopus/inward/citedby.url?partnerID=bb5nvXTn&rel=R6.0.0&doi=null&md5=f8a2d9f8af7e0fb17f9968fbbee28b49	Radio-telemetry techniques in the study of displacement of	NAUPLIUS	AYRES-PERES, L. ; BAUMART, J. S. ; COUTINHO, C. ; GONCALVES,A. S. ; SANTOS, S. ; ARAUJO, P.	Qualis nao identificado	NAUPLIUS
artigoEmPeriodico	 	0	1385-8947	http://www.scopus.com/scopus/inward/citedby.url?partnerID=bb5nvXTn&rel=R6.0.0&doi=10.1016/j.cej.2015.01.031&md5=6b01eca62ca91780f421d0970aa03b23	Biomass from microalgae separation by electroflotation with iron and aluminum spiral electrodes	Chemical Engineering Journal (1996)	BAIERLE, FELIPE ; JOHN, DANIELLE K. ; SOUZA, MAIARA P. ; BJERK, THIAGO R. ; MORAES, MARIA S.A. ; HOELTZ, MICHELE ; ROHLFES, ANA L.B. ; CAMARGO, MARIA EMILIA ; CORBELLINI, VALERIANO A. ; SCHNEIDER, ROSANA C.S.	Qualis nao identificado	Chemical Engineering Journal (1996)
artigoEmPeriodico	 	0	0103-5657	http://www.scopus.com/scopus/inward/citedby.url?partnerID=bb5nvXTn&rel=R6.0.0&doi=null&md5=f8a2d9f8af7e0fb17f9968fbbee28b49	Old World birds new to the Brazilian territory recorded in the Archipelago of São Pedro and São Paulo, equatorial Atlantic Ocean	Ararajuba (Rio de Janeiro)	BENCKE, Glayson A ; OTT, P H ; MORENO, I B ; TAVARES, M. ; CAON, G.	Qualis nao identificado	Ararajuba (Rio de Janeiro)
